,global_x,global_y,global_z,delta_s,total_s,has_anchor,depth,k_yy,k_zy,k_yz,k_zz
47998,4798.803020664224,96.9624688726035,-78.47339483955875,0.10000298448506867,4800.050302283327,True,-101.0,15851.625757590868,0.0,0.0,31703.251515181735
48998,4898.791331224152,98.49270974233514,-79.23844807851128,0.10000290800984088,4900.053248409269,True,-101.0,16006.166511859275,0.0,0.0,32012.33302371856
49998,4998.779945832545,100.00295291561633,-79.99350506940391,0.10000283253342436,5000.056118560429,True,-101.0,16158.68802401959,0.0,0.0,32317.37604803918
50998,5098.768860489859,101.49319833196932,-80.7385657139821,0.10000275805681227,5100.058913735234,True,-101.0,16309.19027422438,0.0,0.0,32618.380548448768
51998,5198.758071196533,102.96344593178947,-81.47362991573755,0.10000268457710972,5200.061634932155,True,-103.0,16783.567762641935,0.0,0.0,33567.13552528387
52998,5298.747573952996,104.41369565634523,-82.19869757874403,0.10000261209817064,5300.064283149721,True,-103.0,16932.93170122127,0.0,0.0,33865.86340244254
53998,5398.73736475967,105.84394744748715,-82.91376860882156,0.10000254061461095,5400.066859386475,True,-110.0,18241.029093940742,0.0,0.0,36482.058187881485
54998,5498.727439616958,107.25420124811353,-83.61884291318711,0.10000247013086119,5500.069364641001,True,-110.0,18396.145440901164,0.0,0.0,36792.29088180233
55998,5598.717794525259,108.64445700170472,-84.313920399989,0.10000240064703071,5600.07179991196,True,-110.0,18549.06248799758,0.0,0.0,37098.12497599516
56998,5698.708425484954,110.01471465278883,-84.99900097900536,0.10000233216213103,5700.074166198007,True,-110.0,18699.78021538118,0.0,0.0,37399.56043076236
57998,5798.6993284964165,111.36497414653422,-85.67408456094563,0.10000226467174855,5800.076464497862,True,-110.0,18848.29860340804,0.0,0.0,37696.59720681608
58998,5898.690499560013,112.69523542880779,-86.33917105826549,0.10000219818683544,5900.078695810282,True,-110.0,18994.6176328184,0.0,0.0,37989.23526563682
59998,5998.68193467609,114.00549844646594,-86.99426038435195,0.10000213269197186,6000.080861134022,True,-110.0,19138.73728455743,0.0,0.0,38277.47456911486
60998,6098.673629844991,115.29576314723818,-87.63935245422181,0.10000206820398407,6100.082961467913,True,-125.0,21909.838113555452,0.0,0.0,43819.676227110904
61998,6198.665581067049,116.56602947920328,-88.27444718382321,0.10000200471403572,6200.084997810807,True,-125.0,22068.611795955803,0.0,0.0,44137.22359191161
62998,6298.6577843425775,117.816297391837,-88.8995444906177,0.10000194221717025,6300.086971161602,True,-125.0,22224.886122654425,0.0,0.0,44449.77224530885
63998,6398.650235671894,119.04656683502253,-89.51464429346379,0.10000188072428869,6400.0888825192305,True,-125.0,22378.661073365947,0.0,0.0,44757.32214673189
64998,6498.642931055295,120.2568377595162,-90.11974651226774,0.10000182022798214,6500.090732882642,True,-125.0,22529.936628066935,0.0,0.0,45059.87325613387
65998,6598.635866493072,121.44711011700565,-90.71485106833279,0.10000176073239544,6600.0925232508425,True,-125.0,22678.71276708319,0.0,0.0,45357.42553416639
66998,6698.629037985506,122.6173838597606,-91.29995788435917,0.10000170223638512,6700.09425462284,True,-119.0,21729.389976477483,0.0,0.0,43458.77995295497
67998,6798.622441532869,123.76765894109849,-91.87506688432768,0.10000164473747372,6800.095927997707,True,-135.0,24806.268058768474,0.0,0.0,49612.53611753695
68998,6898.616073135423,124.89793531480245,-92.44017799349967,0.10000158823887824,6900.097544374523,True,-135.0,24958.848058244905,0.0,0.0,49917.696116489824
69998,6998.60992879342,126.00821293593617,-92.99529113818426,0.10000153273882431,7000.09910475244,True,-135.0,25108.72860730975,0.0,0.0,50217.4572146195
70997,7098.504010322807,127.09741147048771,-93.53986612544395,0.10000147829255533,7100.000608652339,True,-135.0,25255.76385386986,0.0,0.0,50511.52770773973
71997,7198.498301878357,128.16771145252278,-94.07499312446453,0.10000142478865295,7200.002060083369,True,-135.0,25400.248143605422,0.0,0.0,50800.496287210844
72997,7298.492805494059,129.21801255113678,-94.60012194653973,0.10000137228610978,7300.003458512043,True,-135.0,25542.032925565713,0.0,0.0,51084.065851131454
73997,7398.487517170131,130.24831472418737,-95.1152525235666,0.10000132078192812,7400.004804937593,True,-135.0,25681.11818136298,0.0,0.0,51362.23636272596
74997,7498.48243290678,131.25861793052172,-95.62038478837349,0.10000127027735639,7500.006100359291,True,-136.0,26008.744662437573,0.0,0.0,52017.489324875176
75997,7598.47754870421,132.24892212968552,-96.11551867541857,0.10000122077062279,7600.00734577643,True,-136.0,26143.42107971385,0.0,0.0,52286.8421594277
76997,7698.472860562616,133.21922728209756,-96.6006541204406,0.10000117226820747,7700.008542188334,True,-136.0,26275.37792075984,0.0,0.0,52550.75584151968
77997,7798.468364482177,134.16953334899154,-97.07579106010962,0.1000011247579676,7800.00969059435,True,-136.0,26404.615168349803,0.0,0.0,52809.230336699635
78997,7898.464056463082,135.09984029229963,-97.54092943284195,0.10000107825018725,7900.010791993876,True,-136.0,26531.13280573301,0.0,0.0,53062.26561146602
79997,7998.459932505494,136.01014807482716,-97.9960691781016,0.10000103274323512,8000.011847386313,True,-136.0,26654.930816443637,0.0,0.0,53309.86163288728
80997,8098.455988609577,136.90045666019432,-98.4412102366332,0.10000098823294054,8100.012857771069,True,-136.0,26776.009184364222,0.0,0.0,53552.01836872846
81997,8198.45222077549,137.77076601266162,-98.87635255081113,0.10000094472659395,8200.013824147632,True,-145.0,28674.14223973522,0.0,0.0,57348.28447947046
82997,8298.448625003384,138.6210760975373,-99.30149606382474,0.1000009022183337,8300.01474751547,True,-145.0,28797.43385850917,0.0,0.0,57594.86771701835
83997,8398.445197293395,139.45138688076986,-99.71664072049316,0.10000086070804963,8400.015628874105,True,-145.0,28917.825808943016,0.0,0.0,57835.65161788603
84997,8498.441933645663,140.26169832912274,-100.12178646691609,0.10000082019544132,8500.016469223026,True,-145.0,29035.318075405667,0.0,0.0,58070.63615081133
85997,8598.438830060315,141.05201041023247,-100.51693325024098,0.10000078068325281,8600.017269561793,True,-145.0,29149.910642569885,0.0,0.0,58299.82128513977
86997,8698.435882537475,141.8223230924923,-100.9020810193615,0.10000074217418409,8700.018030889993,True,-145.0,29261.60349561483,0.0,0.0,58523.206991229665
87997,8798.433087077261,142.57263634511037,-101.27722972398624,0.10000070466461496,8800.018754207213,True,-145.0,29370.396619956,0.0,0.0,58740.79323991202
88997,8898.43043967978,143.3029501379351,-101.64237931533717,0.10000066815414412,8900.019440513031,True,-145.0,29476.29000144778,0.0,0.0,58952.58000289556
89997,8998.427936345133,144.0132644419209,-101.99752974603325,0.1000006326381835,9000.020090807137,True,-153.0,31211.244102286175,0.0,0.0,62422.48820457235
90997,9098.425573073428,144.703579228546,-102.34268096997403,0.10000059812541576,9100.020706089153,True,-153.0,31316.860376812045,0.0,0.0,62633.720753624104
91997,9198.42334586475,145.37389447021997,-102.67783294222318,0.10000056461404139,9200.021287358753,True,-153.0,31419.416880320285,0.0,0.0,62838.833760640584
92997,9298.42125071919,146.02421014016727,-103.00298561912496,0.10000053210044231,9300.021835615651,True,-153.0,31518.913599452237,0.0,0.0,63037.82719890447
93997,9398.419283636833,146.6545262123691,-103.31813895853702,0.10000050058863783,9400.022351859536,True,-153.0,31615.350521312335,0.0,0.0,63230.701042624656
