,global_x,global_y,global_z,delta_s,total_s,has_anchor,depth,k_yy,k_zy,k_yz,k_zz
171997,17198.33177626582,134.1996129178442,-97.09083034622017,0.10000112321257165,17200.04613815981,True,-104.0,20194.892712013796,0.0,0.0,40389.78542402759
172997,17298.32728626529,133.2499468223541,-96.61601335962769,0.10000117067932036,17300.047285046156,True,-104.0,20096.13077880256,0.0,0.0,40192.26155760512
173997,17398.322604331603,132.28028164006537,-96.13119786593597,0.1000012191564575,17400.048479906367,True,-104.0,19995.289156114675,0.0,0.0,39990.57831222936
174997,17498.31772646493,131.29061740962788,-95.63638392800931,0.10000126862974934,17500.04972373988,True,-104.0,19892.36785702593,0.0,0.0,39784.73571405187
175997,17598.312648665473,130.28095417103032,-95.13157161022536,0.10000131909761918,17600.05101754594,True,-102.0,19406.840608485974,0.0,0.0,38813.68121697195
176997,17698.307366933434,129.25129196426133,-94.61676097824238,0.1000013705744243,17700.052362323873,True,-102.0,19301.819239561446,0.0,0.0,38603.6384791229
177997,17798.301877269012,128.20163083064836,-94.09195209876634,0.10000142303595726,17800.053759072976,True,-102.0,19194.758228148326,0.0,0.0,38389.51645629667
178997,17898.29617567244,127.13197081215912,-93.55714504048228,0.10000147650701449,17900.055208792535,True,-102.0,19085.65758825838,0.0,0.0,38171.31517651677
179997,17998.290258143934,126.04231195157627,-93.01233987242449,0.10000153097673482,18000.05671248164,True,-109.0,20276.69009218854,0.0,0.0,40553.38018437708
180997,18098.284120683733,124.93265429261373,-92.45753666572273,0.10000158644322261,18100.05827113952,True,-109.0,20155.742993127555,0.0,0.0,40311.48598625511
