,global_x,global_y,global_z,delta_s,total_s,has_anchor,depth,z1,is_underground,has_hydro_loading,u_z_initial,u_y_initial,u_x_initial,theta_x_initial,theta_y_initial,theta_z_initial
345,17250.105843260368,66.84623559541069,-96.84623559541069,50.001860346645884,17250.79263844252,,,,False,,-13.384433940748892,0,0,0,0,0
346,17300.106575370977,66.60747406689916,-96.60747406689916,50.001872222267174,17300.794510664786,True,-136.0,-81.77785103057226,False,True,-14.829623036326893,0,0,0,0,0
347,17350.10729548069,66.36621243692935,-96.36621243692935,50.0018842228787,17350.796394887664,,,,False,,-15.196364341324315,0,0,0,0,0
348,17400.108003464513,66.12245070619974,-96.12245070619974,50.00189634849989,17400.798291236162,True,-136.0,-81.1518367408115,False,True,-14.970613965388239,0,0,0,0,0
349,17450.108699197415,65.87618887540884,-95.87618887517601,50.00190859910256,17450.800199835267,,,,False,,-14.898155378005727,0,0,0,0,0
350,17500.10938255441,65.62742694467306,-95.62742694467306,50.00192097472409,17500.80212080999,True,-136.0,-80.51463112432184,False,True,-15.112795820351224,0,0,0,0,0
351,17550.110053410477,65.37616491515655,-95.37616491515655,50.001933475335356,17550.804054285323,,,,False,,-15.461524690492066,0,0,0,0,0
352,17600.11071164061,65.12240278732497,-95.12240278732497,50.001946100942114,17600.806000386267,True,-136.0,-79.86636654494515,False,True,-15.256036242379821,0,0,0,0,0
353,17650.1113571198,64.8661405617604,-94.8661405617604,50.00195885155147,17650.807959237816,,,,False,,-14.04151263676059,0,0,0,0,0
354,17700.111989723046,64.60737823916133,-94.60737823904492,50.00197172716265,17700.80993096498,True,-128.0,-81.77499543337045,False,True,-12.83238280567447,0,0,0,0,0
355,17750.112609325333,64.34611582010984,-94.34611581999343,50.00198472776757,17750.81191569275,,,,False,,-12.640531915123402,0,0,0,0,0
356,17800.113215801655,64.08235330518801,-94.08235330518801,50.00199785337089,17800.81391354612,True,-128.0,-81.08393000952529,False,True,-12.998423295662718,0,0,0,0,0
357,17850.113809027007,63.81609069532715,-93.81609069532715,50.002011103973594,17850.815924650095,,,,False,,-13.2126504285223,0,0,0,0,0
358,17900.114388876376,63.547327990992926,-93.54732799099293,50.00202447957128,17900.817949129665,True,-128.0,-80.3815787579161,False,True,-13.165749233076824,0,0,0,0,0
359,17950.11495522475,63.276065192883834,-93.27606519288383,50.00203798016192,17950.819987109826,,,,False,,-13.001687144725357,0,0,0,0,0
360,18000.115507947132,63.002302301698364,-93.00230230169836,50.00205160575619,18000.82203871558,True,-128.0,-79.66808707687854,False,True,-13.334215224819829,0,0,0,0,0
361,18050.116046918512,62.72603931813501,-92.72603931813501,50.00206535635028,18050.824104071933,,,,False,,-14.553550428441632,0,0,0,0,0
362,18100.116572013874,62.44727624277584,-92.44727624277584,50.00207923193068,18100.826183303863,True,-135.0,-76.76128658313861,False,True,-15.68598965963723,0,0,0,0,0
363,18150.117083108216,62.16601307655219,-92.16601307643577,50.00209323251216,18150.828276536377,,,,False,,-15.842359260129182,0,0,0,0,0
364,18200.117580076527,61.88224981992971,-91.8822498198133,50.002107358086846,18200.830383894463,True,-135.0,-76.0467264464339,False,True,-15.835523373379402,0,0,0,0,0
365,18250.11806279381,61.595986473490484,-91.5959864736069,50.00212160866844,18250.83250550313,,,,False,,-16.36627867822373,0,0,0,0,0
366,18300.118531135042,61.307223038515076,-91.30722303851508,50.00213598423089,18300.834641487363,True,-135.0,-75.32210884526066,False,True,-15.985114193254418,0,0,0,0,0
367,18350.118984975226,61.01595951535273,-91.0159595151199,50.00215048479821,18350.83679197216,,,,False,,-13.51568493225847,0,0,0,0,0
368,18400.119424189346,60.72219590446912,-90.72219590446912,50.00216511035225,18400.838957082513,True,-119.0,-79.6975783544236,False,True,-11.02461755004552,0,0,0,0,0
369,18450.119848652404,60.42593220702838,-90.42593220702838,50.00217986091033,18450.84113694342,,,,False,,-10.606344563899182,0,0,0,0,0
370,18500.120258239385,60.1271684236126,-90.12716842372902,50.00219473645468,18500.843331679876,True,-119.0,-78.90361812375261,False,True,-11.22355029997641,0,0,0,0,0
371,18550.12065282528,59.8259045551531,-89.82590455503669,50.00220973699306,18550.84554141687,,,,False,,-11.448498356925409,0,0,0,0,0
372,18600.121032285097,59.522140601999126,-89.52214060199913,50.002224862539805,18600.84776627941,True,-119.0,-78.09862298751302,False,True,-11.423517614486101,0,0,0,0,0
373,18650.12139649381,59.215876565198414,-89.21587656519841,50.00224011306418,18650.850006392473,,,,False,,-11.541101891341963,0,0,0,0,0
374,18700.121745326418,58.90711244556587,-88.90711244556587,50.002255488583415,18700.852261881057,True,-119.0,-77.28277296470685,False,True,-11.624339480859021,0,0,0,0,0
375,18750.122078657918,58.59584824368358,-88.59584824368358,50.00227098910452,18750.854532870162,,,,False,,-11.530855429524237,0,0,0,0,0
376,18800.122396363295,58.282083960366435,-88.28208396048285,50.00228661460908,18800.856819484772,True,-119.0,-76.45625663885707,False,True,-11.82582732162578,0,0,0,0,0
377,18850.12269831755,57.96581959654577,-87.96581959654577,50.002302365116535,18850.859121849888,,,,False,,-12.927691309961894,0,0,0,0,0
378,18900.122984395668,57.64705515303649,-87.64705515292007,50.002318240602584,18900.86144009049,True,-125.0,-73.68668986935013,False,True,-13.960365283569942,0,0,0,0,0
